TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
01-10-2023,28.9,72,0,1,60.22
02-10-2023,29.2,70,0,1,47
03-10-2023,29.2,67,0,2,32.1
04-10-2023,29,74,-,1,40.11
05-10-2023,29.8,74,0,0,39.84
06-10-2023,29.3,76,-,1,45.88
07-10-2023,29.6,74,0,1,50.94
08-10-2023,29.7,73,-,1,40.96
09-10-2023,30.1,72,0,1,33.97
10-10-2023,30.7,65,0,1,35.22
11-10-2023,30.1,72,-,1,33.11
12-10-2023,30.2,74,0,1,40.65
13-10-2023,30.1,74,0,2,40.77
14-10-2023,30.3,65,0,2,40.39
15-10-2023,30.8,61,-,1,36.02
16-10-2023,30.1,69,0,1,39.92
17-10-2023,31.8,60,0,2,35.95
18-10-2023,30.3,62,0,2,41.21
19-10-2023,30.7,66,-,1,34.02
20-10-2023,29.9,73,-,2,36.15
21-10-2023,30.2,71,0,1,39.78
22-10-2023,30.4,65,-,1,42.94
23-10-2023,27,78,0,2,47.4
24-10-2023,29.4,72,-,1,36.43
25-10-2023,29.5,72,8888,1,41.02
26-10-2023,30.1,72,0,1,56.01
27-10-2023,30.1,72,0,0,67.09
28-10-2023,30.3,68,-,1,49.53
29-10-2023,29.8,69,0,1,47.32
30-10-2023,30.7,67,0,1,49.8
31-10-2023,29.8,74,-,1,47.55
01-11-2023,29.8,72,8,1,45.16
02-11-2023,30.3,71,0,1,45.92
03-11-2023,30.2,70,0,1,56.81
04-11-2023,28.2,80,-,1,54.86
05-11-2023,28.7,80,28,1,29.8
06-11-2023,30.1,75,0,0,40.15
07-11-2023,30.4,71,0,2,38.11
08-11-2023,30.4,72,-,1,33.14
09-11-2023,30,72,0,1,63.09
10-11-2023,29.2,79,0,1,56.64
11-11-2023,29.3,76,4.5,1,44.77
12-11-2023,30.1,71,0,1,41.12
13-11-2023,31.2,67,-,1,51.6
14-11-2023,29.7,76,8888,1,34.84
15-11-2023,29.6,74,39,1,22.73
16-11-2023,29.7,74,-,2,34.11
17-11-2023,29.8,75,11,1,37
18-11-2023,29.2,76,0.4,1,33.5
19-11-2023,29.6,78,1,1,34.36
20-11-2023,30.4,69,4,1,27.68
21-11-2023,30.2,72,0,2,33.34
22-11-2023,30,73,15,2,25.65
23-11-2023,29.2,78,3.1,1,45.55
24-11-2023,28.6,82,0,1,53.65
25-11-2023,26.1,89,3.5,0,
26-11-2023,29.1,75,18.1,1,
27-11-2023,28.2,78,-,1,
28-11-2023,29.5,73,-,0,35.92
29-11-2023,29.8,76,2.5,0,26.75
30-11-2023,28.3,80,18.1,1,19.05
01-12-2023,26.9,87,3,0,25.07
02-12-2023,29.4,74,1.1,1,36.81
03-12-2023,28.6,78,-,1,23.93
04-12-2023,26.7,86,2.3,0,21.88
05-12-2023,29.4,74,1.4,1,32.28
06-12-2023,29.4,74,-,1,28.38
07-12-2023,29.2,79,0,1,36.46
08-12-2023,29.4,76,0,1,44.5
09-12-2023,29.1,76,0,1,43.03
10-12-2023,29.2,77,0,1,36.08
11-12-2023,30,72,0,2,38.35
12-12-2023,29.7,71,0,1,35.22
13-12-2023,30.1,70,0,2,42.97
14-12-2023,30.6,69,0,2,34.6
15-12-2023,30.4,65,-,1,34.78
16-12-2023,30.3,64,0,2,43.6
17-12-2023,30.6,65,0,2,29.66
18-12-2023,30.7,66,0,1,31.64
19-12-2023,30.3,62,-,2,24.21
20-12-2023,30.3,56,-,1,22.54
21-12-2023,29.9,62,0,2,22.99
22-12-2023,30.1,65,-,1,24.73
23-12-2023,31,65,-,1,48.73
24-12-2023,30.6,70,0,1,34.78
25-12-2023,28.3,80,0,1,26.17
26-12-2023,28.4,80,36,1,25.17
27-12-2023,28.7,80,0,1,22.65
28-12-2023,29.9,76,2.5,1,32.44
29-12-2023,29.3,79,-,1,48.01
30-12-2023,29.2,79,2,1,49.52
31-12-2023,28.3,80,0,1,45.23
01-01-2024,29.6,77,1.8,1,56.51
02-01-2024,29.7,78,0,1,27.71
03-01-2024,28,84,2.5,1,17.35
04-01-2024,27.1,87,8.5,0,16.54
05-01-2024,28.1,80,30.8,1,22.21
06-01-2024,27.8,83,1,1,36.15
07-01-2024,28.1,80,1.3,1,45.17
08-01-2024,28.3,79,-,1,32.81
09-01-2024,29.2,76,-,2,38.61
10-01-2024,29.2,76,-,2,31.63
11-01-2024,27.3,87,0,1,36.71
12-01-2024,28.6,75,42,2,15.62
13-01-2024,28.4,80,0,1,21.06
14-01-2024,29.5,76,2.4,2,25.4
15-01-2024,29.4,74,-,2,
16-01-2024,30.2,69,0,2,
17-01-2024,28.4,80,-,1,
18-01-2024,28.2,79,1.5,2,
19-01-2024,26.4,85,7.7,2,
20-01-2024,30.5,64,11,2,
21-01-2024,28.8,76,-,2,
22-01-2024,30.4,66,7,3,
23-01-2024,30.1,68,-,1,
24-01-2024,30.2,67,-,2,
25-01-2024,30.1,72,0,1,
26-01-2024,29.1,78,0,3,
27-01-2024,26.3,90,14,0,
28-01-2024,27.4,85,28,1,
29-01-2024,27.2,88,24,1,22.37
30-01-2024,26.9,88,17.6,1,35.64
31-01-2024,27.9,81,110.5,1,19.07
01-02-2024,27.8,83,8888,1,38.33
02-02-2024,28.2,81,20.1,1,22.12
03-02-2024,28.1,79,20.3,2,19.82
04-02-2024,28,81,-,1,9.91
05-02-2024,27.9,84,14,1,40.89
06-02-2024,26.4,86,6.8,1,39.28
07-02-2024,28.9,75,14.8,1,19.05
08-02-2024,29.3,76,-,2,32.68
09-02-2024,29,79,-,2,38.04
10-02-2024,28.6,79,102,1,21.26
11-02-2024,28.8,78,0,2,32.53
12-02-2024,28.6,81,5.8,2,24.56
13-02-2024,28.6,80,3,2,20.2
14-02-2024,27.6,85,140.9,0,18.64
15-02-2024,28.5,85,3,1,33.17
16-02-2024,28.1,85,7.5,2,53.22
17-02-2024,28.3,82,18.4,1,27.92
18-02-2024,28.6,80,0,2,29.6
19-02-2024,29.5,78,0,2,41.45
20-02-2024,29.8,78,-,2,42.78
21-02-2024,29.5,77,0.2,1,49.54
22-02-2024,30.6,74,0,3,29.33
23-02-2024,30.3,72,3.2,2,22.65
24-02-2024,28.9,80,-,3,20.16
25-02-2024,28.4,81,5.7,2,11.49
26-02-2024,28.7,79,20.8,0,11.19
27-02-2024,29.1,78,0,1,38.27
28-02-2024,27.6,88,38.5,1,30.24
29-02-2024,26.1,92,75.5,0,26.36
01-03-2024,29.1,77,10,2,35.31
02-03-2024,27.7,86,-,1,28.51
03-03-2024,27.7,86,17.7,2,20.74
04-03-2024,29.2,74,6.8,2,21.93
05-03-2024,30.2,71,1,2,16.6
06-03-2024,29.6,75,8888,2,13.46
07-03-2024,29.7,74,4,1,11.23
08-03-2024,29.2,75,0,1,9.43
09-03-2024,-,94,4.2,0,13.09
10-03-2024,27.9,86,47.7,1,47.96
11-03-2024,27.9,86,10.4,1,29.95
12-03-2024,28.8,79,16,1,27.87
13-03-2024,28.2,84,4.3,2,23.54
14-03-2024,27.2,86,24,1,22.88
15-03-2024,27.4,83,31.8,1,15.18
16-03-2024,26,91,6.5,1,09.09
17-03-2024,27,85,19,2,10.14
18-03-2024,29,77,21.7,2,13.68
19-03-2024,30.2,65,0.3,1,17.17
20-03-2024,30.4,63,-,3,15.56
21-03-2024,29,77,0,2,19.55
22-03-2024,26.4,91,63.3,0,19.47
23-03-2024,29.8,75,3.8,1,76.26
24-03-2024,29.9,77,-,1,31.96
25-03-2024,29.2,80,-,1,28.37
26-03-2024,30.2,75,-,1,43.46
27-03-2024,28.3,82,0.4,1,36.51
28-03-2024,29.3,77,-,1,78.89
29-03-2024,29.8,75,0,0,70.72
30-03-2024,29.7,77,-,1,51.58
31-03-2024,28.9,82,-,1,55.7
01-04-2024,29.2,78,18.2,1,80.31
02-04-2024,29.5,77,1.2,1,67.13
03-04-2024,28.3,83,0,2,43.07
04-04-2024,30.2,75,5.6,1,36.99
05-04-2024,29.6,80,-,0,71.62
06-04-2024,29.2,80,2.8,1,55.44
07-04-2024,30.1,76,-,2,43.54
08-04-2024,30,72,-,2,38.45
09-04-2024,28.6,81,-,0,38.83
10-04-2024,28.7,78,8.7,1,75.41
11-04-2024,29,80,0.7,2,19.52
12-04-2024,27.7,86,39,1,17.38
13-04-2024,29.5,79,1,2,28
14-04-2024,28.9,80,8888,1,21.52
15-04-2024,30.1,75,1,1,19.26
16-04-2024,30.9,74,-,1,31.49
17-04-2024,28.8,81,-,2,33.97
18-04-2024,29.6,75,27.2,2,30.88
19-04-2024,29.5,76,0,1,31.03
20-04-2024,30.1,76,-,1,49.79
21-04-2024,29.6,76,-,1,29.33
22-04-2024,30.9,73,0,1,31.47
23-04-2024,29.8,77,0,1,49.1
24-04-2024,30,78,-,1,46.54
25-04-2024,29,81,13,1,40.95
26-04-2024,30.2,77,0.4,1,35.51
27-04-2024,29.5,78,0,1,41.78
28-04-2024,30.2,78,2,1,36.72
29-04-2024,31.3,74,-,2,38.51
30-04-2024,31,74,0,1,47.2
01-05-2024,30.4,76,-,1,41.81
02-05-2024,31.3,72,-,1,60.26
03-05-2024,30.7,73,-,2,54.97
04-05-2024,30.3,70,0,1,60.43
05-05-2024,30.8,71,0,1,70.2
06-05-2024,30.5,68,-,0,73.5
07-05-2024,31,68,0,1,66.22
08-05-2024,30.5,71,-,1,60.69
09-05-2024,30.6,73,-,1,69.06
10-05-2024,30.9,73,-,1,62.67
11-05-2024,31.1,71,-,2,50.74
12-05-2024,31,70,-,2,56.16
13-05-2024,30.9,72,0,1,51.39
14-05-2024,28.5,84,0,1,62.81
15-05-2024,30.7,71,28.5,1,61.48
16-05-2024,30.4,73,-,1,79.09
17-05-2024,30.4,70,-,1,65.91
18-05-2024,30.6,69,-,1,79.79
19-05-2024,30.3,70,-,1,62.02
20-05-2024,30.6,68,-,1,66.66
21-05-2024,30.5,70,0,1,69.81
22-05-2024,30.6,72,0,2,71.02
23-05-2024,28.9,81,-,1,57.89
24-05-2024,29.3,78,8888,1,57.59
25-05-2024,27.2,86,3.5,1,30.98
26-05-2024,29.5,77,2.1,1,58.98
27-05-2024,31,70,-,1,70.16
28-05-2024,30.7,74,-,2,87.35
29-05-2024,30.8,73,0,1,61.62
30-05-2024,30.6,74,0,1,67.22
31-05-2024,30.8,74,-,1,82.63
01-06-2024,29.7,76,-,1,88.55
02-06-2024,29.7,78,-,0,66.04
03-06-2024,28.8,82,1.5,0,37.64
04-06-2024,29.6,78,-,1,67.34
05-06-2024,30,72,-,1,71.95
06-06-2024,30.7,68,-,1,55.58
07-06-2024,29.9,73,-,2,60.18
08-06-2024,30.5,72,-,2,62.23
09-06-2024,29.6,75,0,1,59.73
10-06-2024,30.7,73,0,1,68.05
11-06-2024,28.4,85,-,1,56.1
12-06-2024,28.9,79,12.9,0,49.15
13-06-2024,29,78,0,1,43.59
14-06-2024,29.7,75,8888,2,46.4
15-06-2024,28.9,78,-,2,44.35
16-06-2024,28.2,82,65.6,1,32.35
17-06-2024,29.7,75,0,2,57.7
18-06-2024,29.3,77,0,2,83.44
19-06-2024,29.8,71,-,1,71.51
20-06-2024,29.7,66,-,1,56.56
21-06-2024,29.8,70,-,1,62.07
22-06-2024,29.2,72,0,1,78.27
23-06-2024,30.2,62,-,1,59.93
24-06-2024,29.9,72,-,1,65.34
25-06-2024,27.3,83,0,1,52.4
26-06-2024,29.8,75,24,1,51.49
27-06-2024,29.7,77,-,1,49.33
28-06-2024,29.6,78,2.5,1,40.61
29-06-2024,-,82,-,1,41.9
30-06-2024,29.4,76,3,2,30.46
01-07-2024,29,77,-,1,66.62
02-07-2024,28.5,81,0.6,0,45.2
03-07-2024,28.1,79,0,1,66.83
04-07-2024,27.1,84,2.5,1,42.79
05-07-2024,27,84,14.5,1,34.54
06-07-2024,24.8,92,15.3,0,19.61
07-07-2024,27.4,81,49.3,0,18.52
08-07-2024,-,-,-,1,26.82
09-07-2024,28.1,83,54,1,29.66
10-07-2024,28.7,76,1.6,1,40.15
11-07-2024,28.6,76,0,1,67.68
12-07-2024,28.8,67,0,2,57.15
13-07-2024,28.3,67,0,1,65.44
14-07-2024,28,66,0,1,60.87
15-07-2024,27.4,68,0,1,56.79
16-07-2024,28.6,66,0,1,56.09
17-07-2024,28.5,72,0,2,52.74
18-07-2024,29.5,69,0,2,52.23
19-07-2024,29.2,69,0,1,51.41
20-07-2024,28.6,67,0,2,49.61
21-07-2024,29.4,67,0,1,48.42
22-07-2024,28.7,73,0,1,51.04
23-07-2024,28.9,66,0,2,60.27
24-07-2024,29,70,0,1,78.08
25-07-2024,28.4,72,0,1,55.79
26-07-2024,28.9,71,0,1,71.04
27-07-2024,29.5,69,0,1,63.8
28-07-2024,29,72,0,1,70.79
29-07-2024,29.3,68,0,1,59.9
30-07-2024,29.3,69,0,1,70.09
31-07-2024,29.4,72,0,1,88.27
01-08-2024,28.7,77,0,2,68.06
02-08-2024,28.8,75,8888,1,50.72
03-08-2024,28.6,78,2.6,1,31.26
04-08-2024,29.3,75,0,1,44.18
05-08-2024,28.5,74,5,2,35.52
06-08-2024,29.2,69,0,1,42.9
07-08-2024,28.9,72,0,1,55.79
08-08-2024,29.4,68,0,1,60.73
09-08-2024,29.7,70,0,1,47.66
10-08-2024,29.5,72,0,1,43.66
11-08-2024,29.1,71,0,2,
12-08-2024,29,62,0,1,
13-08-2024,29,61,0,1,53.25
14-08-2024,29.3,68,0,1,
