TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
01-10-2023,27.2,78,25.1,1,60.63
02-10-2023,27,74,0,1,36.69
03-10-2023,27.3,72,0.2,0,24.84
04-10-2023,27.5,72,-,1,39.99
05-10-2023,27.8,77,-,2,51.81
06-10-2023,27.1,76,-,1,62.78
07-10-2023,27.6,77,7,0,77.78
08-10-2023,28,71,-,1,56.05
09-10-2023,28.2,72,-,1,39.07
10-10-2023,28.2,74,-,1,46.97
11-10-2023,28.3,73,2.5,1,61.76
12-10-2023,28.3,73,8888,1,70.02
13-10-2023,27.7,74,-,2,67.44
14-10-2023,27.2,78,-,1,48.41
15-10-2023,28.1,74,4.2,2,43.68
16-10-2023,28.9,69,0,1,51.74
17-10-2023,29.3,66,1,1,59.71
18-10-2023,28.3,65,-,1,46.54
19-10-2023,27.5,70,-,2,46.09
20-10-2023,27.7,74,-,1,45.74
21-10-2023,27.1,81,0.5,1,52.69
22-10-2023,28.1,77,5.3,1,68.09
23-10-2023,18.4,95,-,2,68.72
24-10-2023,27,74,-,1,60.53
25-10-2023,26.3,84,2.2,1,53.67
26-10-2023,27,83,44.5,1,49.81
27-10-2023,27.6,80,9.6,0,57.05
28-10-2023,28.4,66,8888,1,57.01
29-10-2023,27.8,67,-,1,43.18
30-10-2023,28.7,70,-,1,39.7
31-10-2023,26.9,81,-,2,51.39
01-11-2023,26.1,86,78.6,1,55.92
02-11-2023,26.9,84,68.9,1,48.89
03-11-2023,26.6,84,9.2,1,52.45
04-11-2023,26.1,87,74.2,1,60.33
05-11-2023,25.6,90,109,2,30.3
06-11-2023,27.8,81,14.7,0,33.47
07-11-2023,28.3,77,-,0,39.58
08-11-2023,27.9,80,-,2,42.17
09-11-2023,26.3,85,2.1,2,37.04
10-11-2023,27.4,81,72,1,34.81
11-11-2023,27,82,0.4,2,40.08
12-11-2023,26.1,85,8.3,2,19.37
13-11-2023,27.7,81,41,1,23.46
14-11-2023,26.5,86,19,2,20.2
15-11-2023,27.2,84,58.1,2,13.04
16-11-2023,26.6,84,7.7,1,18.62
17-11-2023,27.2,86,37.5,0,24.67
18-11-2023,26.9,84,39,1,26.92
19-11-2023,28.4,77,7,2,24
20-11-2023,28,80,0,2,31.12
21-11-2023,27.1,82,34.7,2,23.07
22-11-2023,27.4,82,68.4,1,17.55
23-11-2023,27.3,83,30.4,1,26.02
24-11-2023,26.7,87,-,1,42.81
25-11-2023,24.8,91,52.9,1,18.23
26-11-2023,26.3,85,1.1,1,17.69
27-11-2023,26,88,83,1,19.59
28-11-2023,26.4,85,-,1,26.95
29-11-2023,26.7,83,2.8,2,20.38
30-11-2023,26.1,89,148,1,10.89
01-12-2023,25.6,90,65.4,0,16.05
02-12-2023,27.1,83,8888,1,19.23
03-12-2023,26.4,85,3.5,1,
04-12-2023,24.9,90,55.8,0,11.69
05-12-2023,26.9,80,8888,1,14.67
06-12-2023,26.6,85,27.5,2,19.75
07-12-2023,27.3,83,10.8,1,17.69
08-12-2023,27,87,27.7,1,17.34
09-12-2023,26.8,85,8,2,21.67
10-12-2023,27.3,83,31.4,1,21.75
11-12-2023,27.1,84,0.2,2,21.74
12-12-2023,27.5,79,31.2,0,20.44
13-12-2023,27.8,78,-,0,23.68
14-12-2023,28.2,73,7.1,2,18.75
15-12-2023,28.6,70,0,1,13.83
16-12-2023,28.2,73,-,0,16.7
17-12-2023,27.9,76,-,0,18.02
18-12-2023,28,75,-,2,19.07
19-12-2023,27.9,66,-,2,12.25
20-12-2023,27.3,64,0,1,11.59
21-12-2023,27.6,67,-,1,13.5
22-12-2023,28.1,70,-,0,22.94
23-12-2023,28.7,72,-,2,30.48
24-12-2023,27.6,81,-,2,31.38
25-12-2023,27,83,73,1,28.47
26-12-2023,26.6,84,8888,1,33.82
27-12-2023,26.8,83,0.5,1,24.89
28-12-2023,27.1,83,3.8,1,26.25
29-12-2023,26.7,89,74.5,1,37.85
30-12-2023,25.7,92,44.7,1,34.1
31-12-2023,26.2,87,98.5,1,18.92
