TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
01-10-2023,28.9,72,0,1,15.18
02-10-2023,29.2,70,0,1,57.24
03-10-2023,29.2,67,0,2,31.35
04-10-2023,29,74,-,1,32.69
05-10-2023,29.8,74,0,0,36.59
06-10-2023,29.3,76,-,1,44.06
07-10-2023,29.6,74,0,1,64.22
08-10-2023,29.7,73,-,1,39.7
09-10-2023,30.1,72,0,1,40.93
10-10-2023,30.7,65,0,1,32.29
11-10-2023,30.1,72,-,1,30.25
12-10-2023,30.2,74,0,1,46.4
13-10-2023,30.1,74,0,2,47.62
14-10-2023,30.3,65,0,2,45.45
15-10-2023,30.8,61,-,1,37.46
16-10-2023,30.1,69,0,1,38.78
17-10-2023,31.8,60,0,2,43.36
18-10-2023,30.3,62,0,2,47
19-10-2023,30.7,66,-,1,30.88
20-10-2023,29.9,73,-,2,28.39
21-10-2023,30.2,71,0,1,42.4
22-10-2023,30.4,65,-,1,50.92
23-10-2023,27,78,0,2,48.98
24-10-2023,29.4,72,-,1,55.6
25-10-2023,29.5,72,8888,1,50.89
26-10-2023,30.1,72,0,1,62.84
27-10-2023,30.1,72,0,0,47.22
28-10-2023,30.3,68,-,1,34.7
29-10-2023,29.8,69,0,1,29.25
30-10-2023,30.7,67,0,1,26.34
31-10-2023,29.8,74,-,1,34.69
01-11-2023,29.8,72,8,1,29.91
02-11-2023,30.3,71,0,1,29.4
03-11-2023,30.2,70,0,1,34.71
04-11-2023,28.2,80,-,1,34.64
05-11-2023,28.7,80,28,1,20.94
06-11-2023,30.1,75,0,0,25.66
07-11-2023,30.4,71,0,2,29.85
08-11-2023,30.4,72,-,1,41.32
09-11-2023,30,72,0,1,57.39
10-11-2023,29.2,79,0,1,58.23
11-11-2023,29.3,76,4.5,1,57.96
12-11-2023,30.1,71,0,1,36.63
13-11-2023,31.2,67,-,1,37.42
14-11-2023,29.7,76,8888,1,33.22
15-11-2023,29.6,74,39,1,26.29
16-11-2023,29.7,74,-,2,34.54
17-11-2023,29.8,75,11,1,31.74
18-11-2023,29.2,76,0.4,1,34.79
19-11-2023,29.6,78,1,1,31.17
20-11-2023,30.4,69,4,1,30.45
21-11-2023,30.2,72,0,2,36.71
22-11-2023,30,73,15,2,25.06
23-11-2023,29.2,78,3.1,1,37.53
24-11-2023,28.6,82,0,1,63.46
25-11-2023,26.1,89,3.5,0,55.62
26-11-2023,29.1,75,18.1,1,29.56
27-11-2023,28.2,78,-,1,28.71
28-11-2023,29.5,73,-,0,41.24
29-11-2023,29.8,76,2.5,0,34.29
30-11-2023,28.3,80,18.1,1,27.42
01-12-2023,26.9,87,3,0,30.92
02-12-2023,29.4,74,1.1,1,37.83
03-12-2023,28.6,78,-,1,20.76
04-12-2023,26.7,86,2.3,0,39.61
05-12-2023,29.4,74,1.4,1,38.69
06-12-2023,29.4,74,-,1,31.18
07-12-2023,29.2,79,0,1,34.84
08-12-2023,29.4,76,0,1,37.25
09-12-2023,29.1,76,0,1,42.04
10-12-2023,29.2,77,0,1,44.62
11-12-2023,30,72,0,2,33.27
12-12-2023,29.7,71,0,1,35.2
13-12-2023,30.1,70,0,2,32.81
14-12-2023,30.6,69,0,2,32.96
15-12-2023,30.4,65,-,1,26.34
16-12-2023,30.3,64,0,2,26.08
17-12-2023,30.6,65,0,2,25.14
18-12-2023,30.7,66,0,1,26.52
19-12-2023,30.3,62,-,2,21.67
20-12-2023,30.3,56,-,1,20.66
21-12-2023,29.9,62,0,2,19.45
22-12-2023,30.1,65,-,1,24.31
23-12-2023,31,65,-,1,36.22
24-12-2023,30.6,70,0,1,51.58
25-12-2023,28.3,80,0,1,41.27
26-12-2023,28.4,80,36,1,46.69
27-12-2023,28.7,80,0,1,40.27
28-12-2023,29.9,76,2.5,1,
29-12-2023,29.3,79,-,1,42.67
30-12-2023,29.2,79,2,1,42.35
31-12-2023,28.3,80,0,1,44.7
01-01-2024,29.6,77,1.8,1,43.14
02-01-2024,29.7,78,0,1,23.45
03-01-2024,28,84,2.5,1,19.17
04-01-2024,27.1,87,8.5,0,15.33
05-01-2024,28.1,80,30.8,1,20.88
06-01-2024,27.8,83,1,1,24.4
07-01-2024,28.1,80,1.3,1,35.9
08-01-2024,28.3,79,-,1,17.38
09-01-2024,29.2,76,-,2,26.01
10-01-2024,29.2,76,-,2,22.15
11-01-2024,27.3,87,0,1,18.42
12-01-2024,28.6,75,42,2,9.66
13-01-2024,28.4,80,0,1,12.94
14-01-2024,29.5,76,2.4,2,13.53
15-01-2024,29.4,74,-,2,
16-01-2024,30.2,69,0,2,
17-01-2024,28.4,80,-,1,
18-01-2024,28.2,79,1.5,2,
19-01-2024,26.4,85,7.7,2,
20-01-2024,30.5,64,11,2,
21-01-2024,28.8,76,-,2,
22-01-2024,30.4,66,7,3,
23-01-2024,30.1,68,-,1,
24-01-2024,30.2,67,-,2,
25-01-2024,30.1,72,0,1,
26-01-2024,29.1,78,0,3,
27-01-2024,26.3,90,14,0,
28-01-2024,27.4,85,28,1,
29-01-2024,27.2,88,24,1,14.5
30-01-2024,26.9,88,17.6,1,24.56
31-01-2024,27.9,81,110.5,1,14.55
01-02-2024,27.8,83,8888,1,27.63
02-02-2024,28.2,81,20.1,1,20.79
03-02-2024,28.1,79,20.3,2,14.5
04-02-2024,28,81,-,1,9.28
05-02-2024,27.9,84,14,1,20.86
06-02-2024,26.4,86,6.8,1,22.4
07-02-2024,28.9,75,14.8,1,12.61
08-02-2024,29.3,76,-,2,20.05
09-02-2024,29,79,-,2,27
10-02-2024,28.6,79,102,1,21.99
11-02-2024,28.8,78,0,2,22.51
12-02-2024,28.6,81,5.8,2,17.89
13-02-2024,28.6,80,3,2,14.28
14-02-2024,27.6,85,140.9,0,10.77
15-02-2024,28.5,85,3,1,17.98
16-02-2024,28.1,85,7.5,2,37.1
17-02-2024,28.3,82,18.4,1,20.04
18-02-2024,28.6,80,0,2,17.73
19-02-2024,29.5,78,0,2,25.24
20-02-2024,29.8,78,-,2,23.02
21-02-2024,29.5,77,0.2,1,38.53
22-02-2024,30.6,74,0,3,37.77
23-02-2024,30.3,72,3.2,2,14.64
24-02-2024,28.9,80,-,3,14.85
25-02-2024,28.4,81,5.7,2,10.38
26-02-2024,28.7,79,20.8,0,9.86
27-02-2024,29.1,78,0,1,23.35
28-02-2024,27.6,88,38.5,1,19.64
29-02-2024,26.1,92,75.5,0,15.62
01-03-2024,29.1,77,10,2,21.45
02-03-2024,27.7,86,-,1,24.19
03-03-2024,27.7,86,17.7,2,15.86
04-03-2024,29.2,74,6.8,2,15.82
05-03-2024,30.2,71,1,2,8.61
06-03-2024,29.6,75,8888,2,8.3
07-03-2024,29.7,74,4,1,7.73
08-03-2024,29.2,75,0,1,5.89
09-03-2024,-,94,4.2,0,12.73
10-03-2024,27.9,86,47.7,1,31.46
11-03-2024,27.9,86,10.4,1,17.39
12-03-2024,28.8,79,16,1,22.71
13-03-2024,28.2,84,4.3,2,22.06
14-03-2024,27.2,86,24,1,21.41
15-03-2024,27.4,83,31.8,1,11.43
16-03-2024,26,91,6.5,1,9.14
17-03-2024,27,85,19,2,9.52
18-03-2024,29,77,21.7,2,11.76
19-03-2024,30.2,65,0.3,1,10.92
20-03-2024,30.4,63,-,3,9.76
21-03-2024,29,77,0,2,15.04
22-03-2024,26.4,91,63.3,0,14.3
23-03-2024,29.8,75,3.8,1,61.79
24-03-2024,29.9,77,-,1,35.25
25-03-2024,29.2,80,-,1,22.92
26-03-2024,30.2,75,-,1,34.19
27-03-2024,28.3,82,0.4,1,37.83
28-03-2024,29.3,77,-,1,54.37
29-03-2024,29.8,75,0,0,43.15
30-03-2024,29.7,77,-,1,32.67
31-03-2024,28.9,82,-,1,40.03
01-04-2024,29.2,78,18.2,1,60.59
02-04-2024,29.5,77,1.2,1,54.21
03-04-2024,28.3,83,0,2,40.51
04-04-2024,30.2,75,5.6,1,30.76
05-04-2024,29.6,80,-,0,59.1
06-04-2024,29.2,80,2.8,1,45.37
07-04-2024,30.1,76,-,2,
08-04-2024,30,72,-,2,
09-04-2024,28.6,81,-,0,
10-04-2024,28.7,78,8.7,1,
11-04-2024,29,80,0.7,2,
12-04-2024,27.7,86,39,1,
13-04-2024,29.5,79,1,2,
14-04-2024,28.9,80,8888,1,
15-04-2024,30.1,75,1,1,12.02
16-04-2024,30.9,74,-,1,18.35
17-04-2024,28.8,81,-,2,33.03
18-04-2024,29.6,75,27.2,2,27.86
19-04-2024,29.5,76,0,1,19.91
20-04-2024,30.1,76,-,1,38.21
21-04-2024,29.6,76,-,1,25.87
22-04-2024,30.9,73,0,1,28.92
23-04-2024,29.8,77,0,1,32.81
24-04-2024,30,78,-,1,20.3
25-04-2024,29,81,13,1,1.52
26-04-2024,30.2,77,0.4,1,
27-04-2024,29.5,78,0,1,
28-04-2024,30.2,78,2,1,
29-04-2024,31.3,74,-,2,
30-04-2024,31,74,0,1,
01-05-2024,30.4,76,-,1,
02-05-2024,31.3,72,-,1,
03-05-2024,30.7,73,-,2,
04-05-2024,30.3,70,0,1,
05-05-2024,30.8,71,0,1,
06-05-2024,30.5,68,-,0,
07-05-2024,31,68,0,1,
08-05-2024,30.5,71,-,1,
09-05-2024,30.6,73,-,1,59.96
10-05-2024,30.9,73,-,1,41.83
11-05-2024,31.1,71,-,2,33.83
12-05-2024,31,70,-,2,38.42
13-05-2024,30.9,72,0,1,32.36
14-05-2024,28.5,84,0,1,47.4
15-05-2024,30.7,71,28.5,1,49.29
16-05-2024,30.4,73,-,1,58.6
17-05-2024,30.4,70,-,1,45.91
18-05-2024,30.6,69,-,1,55.41
19-05-2024,30.3,70,-,1,47.63
20-05-2024,30.6,68,-,1,48.84
21-05-2024,30.5,70,0,1,52.56
22-05-2024,30.6,72,0,2,54.22
23-05-2024,28.9,81,-,1,42.66
24-05-2024,29.3,78,8888,1,43.39
25-05-2024,27.2,86,3.5,1,26.55
26-05-2024,29.5,77,2.1,1,54.69
27-05-2024,31,70,-,1,47.9
28-05-2024,30.7,74,-,2,61.68
29-05-2024,30.8,73,0,1,43.21
30-05-2024,30.6,74,0,1,47.03
31-05-2024,30.8,74,-,1,71.51
01-06-2024,29.7,76,-,1,72.51
02-06-2024,29.7,78,-,0,52.78
03-06-2024,28.8,82,1.5,0,26.9
04-06-2024,29.6,78,-,1,52.28
05-06-2024,30,72,-,1,52.64
06-06-2024,30.7,68,-,1,34.36
07-06-2024,29.9,73,-,2,41.43
08-06-2024,30.5,72,-,2,49.54
09-06-2024,29.6,75,0,1,48.59
10-06-2024,30.7,73,0,1,60.61
11-06-2024,28.4,85,-,1,47.53
12-06-2024,28.9,79,12.9,0,42.39
13-06-2024,29,78,0,1,24.15
14-06-2024,29.7,75,8888,2,29.04
15-06-2024,28.9,78,-,2,43.73
16-06-2024,28.2,82,65.6,1,31.4
17-06-2024,29.7,75,0,2,36.5
18-06-2024,29.3,77,0,2,73.38
19-06-2024,29.8,71,-,1,53.36
20-06-2024,29.7,66,-,1,43.51
21-06-2024,29.8,70,-,1,43.08
22-06-2024,29.2,72,0,1,55.62
23-06-2024,30.2,62,-,1,40.01
24-06-2024,29.9,72,-,1,42.93
25-06-2024,27.3,83,0,1,37.65
26-06-2024,29.8,75,24,1,35.1
27-06-2024,29.7,77,-,1,29.45
28-06-2024,29.6,78,2.5,1,24.29
29-06-2024,-,82,-,1,10.81
30-06-2024,29.4,76,3,2,17.73
01-07-2024,29,77,-,1,48.05
02-07-2024,28.5,81,0.6,0,38.02
03-07-2024,28.1,79,0,1,76.17
04-07-2024,27.1,84,2.5,1,51.34
05-07-2024,27,84,14.5,1,53.4
06-07-2024,24.8,92,15.3,0,
07-07-2024,27.4,81,49.3,0,
08-07-2024,-,-,-,1,13.97
09-07-2024,28.1,83,54,1,30.73
10-07-2024,28.7,76,1.6,1,24.87
11-07-2024,28.6,76,0,1,01.03
12-07-2024,28.8,67,0,2,0.77
13-07-2024,28.3,67,0,1,0.81
14-07-2024,28,66,0,1,0.71
15-07-2024,27.4,68,0,1,
16-07-2024,28.6,66,0,1,
17-07-2024,28.5,72,0,2,
18-07-2024,29.5,69,0,2,
19-07-2024,29.2,69,0,1,
20-07-2024,28.6,67,0,2,
21-07-2024,29.4,67,0,1,
22-07-2024,28.7,73,0,1,
23-07-2024,28.9,66,0,2,
24-07-2024,29,70,0,1,
25-07-2024,28.4,72,0,1,
26-07-2024,28.9,71,0,1,43.5
27-07-2024,29.5,69,0,1,42.91
28-07-2024,29,72,0,1,58.75
29-07-2024,29.3,68,0,1,45.03
30-07-2024,29.3,69,0,1,48.57
31-07-2024,29.4,72,0,1,53.52
01-08-2024,28.7,77,0,2,63.28
02-08-2024,28.8,75,8888,1,37.79
03-08-2024,28.6,78,2.6,1,26.67
04-08-2024,29.3,75,0,1,36.2
05-08-2024,28.5,74,5,2,37.27
06-08-2024,29.2,69,0,1,31.25
07-08-2024,28.9,72,0,1,45.15
08-08-2024,29.4,68,0,1,49.27
09-08-2024,29.7,70,0,1,35.15
10-08-2024,29.5,72,0,1,33.32
11-08-2024,29.1,71,0,2,35.28
12-08-2024,29,62,0,1,33.04
13-08-2024,29,61,0,1,40.54
14-08-2024,29.3,68,0,1,47.23
15-08-2024,29.2,69,0,1,44.56
16-08-2024,29,69,0,1,47.3
17-08-2024,29.4,69,0,1,39.56
18-08-2024,29,72,0,1,38.94
19-08-2024,29.1,73,0,1,44.41
20-08-2024,28.8,76,0,1,52.88
21-08-2024,29.1,74,0,1,51.15
22-08-2024,29.1,73,0,1,33.35
23-08-2024,28.8,76,0,1,38.2
24-08-2024,28.5,73,0,1,65.38
25-08-2024,28.7,68,0,1,37.04
26-08-2024,29.4,70,0,2,39.97
27-08-2024,29.1,71,0,1,58.04
28-08-2024,28.7,64,0,2,37.45
29-08-2024,30.4,65,0,1,52.99
30-08-2024,28.8,67,0,1,46.1
31-08-2024,28.6,70,0,1,26.82
01-09-2024,29,71,0,1,29.1
02-09-2024,30,74,0,0,32.02
03-09-2024,29.3,72,0,2,42.4
04-09-2024,30.1,64,0,1,26.6
05-09-2024,30.1,66,0,1,26.12
06-09-2024,30.6,67,0,1,28.22
07-09-2024,30.4,64,0,2,25.77
08-09-2024,30.1,67,0,2,22.49
09-09-2024,28.6,74,0,2,20.6
10-09-2024,28,80,22.4,1,28.59
11-09-2024,29.6,67,0,1,18.59
12-09-2024,28.9,74,0,2,40.88
13-09-2024,27.6,79,48.7,1,33.94
14-09-2024,28.9,66,0,1,34.67
15-09-2024,28.8,69,0,1,31.15
16-09-2024,29,67,0,2,39.47
17-09-2024,28.8,65,0,2,27.64
18-09-2024,28.3,67,0,2,31.54
19-09-2024,28.5,62,0,1,30.88
20-09-2024,29.1,71,0,1,32.04
21-09-2024,29.4,71,0,2,47.54
22-09-2024,29.8,76,0,1,51.32
23-09-2024,29.9,76,0,1,41.69
24-09-2024,28,82,0,1,40.14
25-09-2024,27.3,80,2,1,44.76
26-09-2024,27.6,81,44.4,1,34.93
27-09-2024,28.7,81,55,0,32.24
28-09-2024,30.6,73,0,2,45.22
29-09-2024,30.1,73,0,1,43.07
30-09-2024,30.1,71,0,1,28.26
01-10-2024,30.2,71,0,1,48.02
02-10-2024,30.5,70,0,1,38.22
03-10-2024,30.3,69,8888,1,43.88
04-10-2024,30.4,69,0,1,33.54
05-10-2024,29.6,72,0,2,30.55
06-10-2024,29.7,72,8888,1,31.58
07-10-2024,30.5,62,0,1,64.13
08-10-2024,30.6,64,0,1,28.59
09-10-2024,30.2,69,0,1,32.67
10-10-2024,30.9,69,0,1,38.07
11-10-2024,31,68,0,1,35.49
12-10-2024,30.6,70,0,1,33.54
13-10-2024,29.5,77,0,1,51.48
14-10-2024,29.6,73,0,1,48.94
15-10-2024,28.9,73,2.2,1,
16-10-2024,30,72,0,1,48.34
17-10-2024,29.1,62,0,1,21.96
18-10-2024,29.4,64,0,1,28.28
19-10-2024,29.9,69,0,1,45.85
20-10-2024,31.1,60,0,2,24.49
21-10-2024,30.1,64,0,1,20.9
22-10-2024,30.3,67,0,1,
23-10-2024,30.4,69,0,1,29.47
24-10-2024,29.4,74,46.6,1,29.97
25-10-2024,28.2,80,5,1,34.92
26-10-2024,30.2,68,7.6,1,29.78
27-10-2024,30.1,71,0,2,27.48
28-10-2024,30.2,67,0,1,32.81
29-10-2024,30.8,69,0,1,32.97
30-10-2024,30.9,65,0,1,41.97
31-10-2024,30.4,70,0,1,35.64
01-11-2024,30.3,68,0,1,47.03
02-11-2024,28.9,79,0,2,37.15
03-11-2024,27.7,79,24.5,1,29.4
04-11-2024,27.6,82,18.4,1,24.35
05-11-2024,28.6,78,0,2,26.02
06-11-2024,29.3,73,14.5,1,20.32
07-11-2024,29.5,75,0,1,45.65
08-11-2024,30,70,0,1,43.53
09-11-2024,29.1,76,0,1,46.7
10-11-2024,28.7,77,0,1,31.21
11-11-2024,28.6,79,0,1,33.88
12-11-2024,28.3,80,5.6,1,20.3
13-11-2024,29.6,74,1.2,1,40.61
14-11-2024,30,76,0,1,59.53
15-11-2024,30,73,0,1,76.76
16-11-2024,28.6,84,1,1,95.59
17-11-2024,29.6,78,7.2,1,100.37
18-11-2024,28.6,83,17.8,2,31.6
19-11-2024,29.2,78,0,1,30.04
20-11-2024,29.5,75,8,1,24.46
21-11-2024,29.7,75,0,1,21.49
22-11-2024,29.4,74,0,2,13.41
23-11-2024,29,77,0,1,
24-11-2024,29.6,73,0,1,
25-11-2024,30.1,72,0,2,
26-11-2024,28.9,76,0,1,
27-11-2024,29,79,1.6,1,
28-11-2024,29.4,72,50,2,
29-11-2024,29.8,67,0.6,2,
30-11-2024,30.4,66,0,2,
01-12-2024,30.4,68,0.6,3,
02-12-2024,29.3,72,5,3,
03-12-2024,27.3,79,26,2,
04-12-2024,27.1,83,4,2,
05-12-2024,27.7,82,10.4,1,
06-12-2024,27.1,86,48.2,0,
07-12-2024,27.7,87,8888,0,
08-12-2024,28.2,82,30.4,1,
09-12-2024,27.5,85,0,0,
10-12-2024,27.7,82,26,3,
11-12-2024,29.7,71,0.7,1,
12-12-2024,29.7,69,1,2,
13-12-2024,30.1,68,0,1,
14-12-2024,28.4,75,0,2,
15-12-2024,28.3,78,0,1,
16-12-2024,28.4,79,18.5,1,
17-12-2024,28.3,82,6.5,1,
18-12-2024,29.1,72,8888,2,
19-12-2024,28.1,82,1.2,1,
20-12-2024,28.1,82,56,1,
21-12-2024,28.1,81,10.2,2,
22-12-2024,27.8,87,19,1,
