TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
01-10-2023,28.8,76,-,0,62.44
02-10-2023,29,76,-,0,46.46
03-10-2023,29.9,65,0,1,40.36
04-10-2023,30.2,68,0,1,48.26
05-10-2023,30.5,69,0,2,65.06
06-10-2023,29.5,72,0,2,78.53
07-10-2023,29.4,76,-,0,77.09
08-10-2023,29.9,72,-,0,69.31
09-10-2023,30.9,64,0,2,59.59
10-10-2023,30.7,70,0,2,40.45
11-10-2023,31.2,71,0,2,63.5
12-10-2023,30.5,71,0,1,62.61
13-10-2023,30,75,-,0,78.02
14-10-2023,29.5,72,-,0,65.89
15-10-2023,30.7,62,0,1,55.61
16-10-2023,31.1,64,0,2,55.95
17-10-2023,31.6,62,0,3,68.7
18-10-2023,30.6,65,0,2,67.28
19-10-2023,29.8,70,-,1,55.17
20-10-2023,30.3,74,-,0,48.08
21-10-2023,30.8,69,0,2,52.91
22-10-2023,31.1,70,0,1,74.88
23-10-2023,27.2,88,4,1,66.23
24-10-2023,30.2,68,0,1,72.81
25-10-2023,29.1,78,2.5,0,70
26-10-2023,29.5,76,0,0,83.07
27-10-2023,31.3,68,0,2,81.11
28-10-2023,31.2,66,0,2,66.93
29-10-2023,30.7,68,0,2,53.81
30-10-2023,33.4,58,0,2,51.99
31-10-2023,33.1,60,0,0,72.51
01-11-2023,31.8,65,0,0,64.73
02-11-2023,32.2,62,0,0,56.03
03-11-2023,31.9,66,1.8,1,60.57
04-11-2023,31.8,69,0,1,64.53
05-11-2023,28.5,81,35.5,2,34.67
06-11-2023,32.2,68,44.5,2,45.56
07-11-2023,32.6,65,0,1,54.77
08-11-2023,32.6,66,0,1,49.18
09-11-2023,31.5,66,0,0,52.14
10-11-2023,32.1,70,8888,1,55.34
11-11-2023,31.4,69,0,1,66.92
12-11-2023,31.2,66,0,1,43.23
13-11-2023,30.8,68,8888,0,50.61
14-11-2023,31.2,71,8888,1,45.03
15-11-2023,31,71,4,2,31.71
16-11-2023,31.9,68,8888,1,39.67
17-11-2023,32,65,8888,1,48.15
18-11-2023,31.4,69,0,2,49.62
19-11-2023,32.6,68,13,2,45.78
20-11-2023,31.8,64,38.7,0,38.14
21-11-2023,32.8,65,0,1,40.64
22-11-2023,32.6,65,1.5,1,38.54
23-11-2023,29.5,76,0.2,1,53.25
24-11-2023,30.3,79,18.3,1,81.23
25-11-2023,26.6,87,5.5,0,52.66
26-11-2023,30,71,17.5,0,33.64
27-11-2023,28.4,80,0,1,41.37
28-11-2023,30.9,69,8888,1,45.48
29-11-2023,31.7,68,8888,1,50.87
30-11-2023,29.1,83,82.1,1,26.9
01-12-2023,27.2,88,0.5,1,33.01
02-12-2023,29.7,74,0.7,1,43.11
03-12-2023,29.2,77,17.7,1,36.22
04-12-2023,26.4,92,59.5,0,35.43
05-12-2023,30.4,70,8888,0,59.49
06-12-2023,30.2,72,0,2,49.37
07-12-2023,30.3,78,58.8,1,43.67
08-12-2023,29.8,79,0,2,36.43
09-12-2023,30.4,74,5,1,41.9
10-12-2023,30.2,76,1.3,1,52.63
11-12-2023,31.9,65,-,1,48.78
12-12-2023,30.8,76,0,2,39.78
13-12-2023,32,67,23.5,2,32.22
14-12-2023,33.3,60,-,1,26.02
15-12-2023,32.9,62,0,2,27.15
16-12-2023,30.8,67,-,0,21.86
17-12-2023,31,69,-,0,23.59
18-12-2023,33.1,59,0,2,24.15
19-12-2023,33.1,57,0,1,23.71
20-12-2023,33.6,50,0,2,26.1
21-12-2023,31.8,60,0,0,24.35
22-12-2023,32.4,54,0,1,
23-12-2023,33,54,0,2,55.17
24-12-2023,32.5,61,0,1,58.53
25-12-2023,28.3,77,20.3,0,48.13
26-12-2023,29.7,76,26.6,1,53.97
27-12-2023,30.1,73,0,2,53.53
28-12-2023,31.2,72,31.5,2,42.92
29-12-2023,30.1,71,1.8,1,53.13
30-12-2023,28.4,79,12.2,0,50.12
31-12-2023,30.2,72,6.4,2,59.69
01-01-2024,30.4,73,34.7,1,41.06
02-01-2024,31.2,72,0.2,1,31.28
03-01-2024,27.9,85,48.7,1,27.97
04-01-2024,28.1,82,5.2,2,18.98
05-01-2024,29.1,78,36.5,1,26.5
06-01-2024,28.7,74,89.8,0,33.96
07-01-2024,27.5,80,49.2,0,43.58
08-01-2024,29.6,74,14.8,2,23.07
09-01-2024,31,68,0.2,2,36.86
10-01-2024,29.1,77,0.2,2,30.57
11-01-2024,29,77,4.4,2,19.23
12-01-2024,29.1,75,3.3,2,09.08
13-01-2024,28.7,77,0,1,15.51
14-01-2024,29.8,77,79.5,1,18.87
15-01-2024,30.7,72,8.5,2,
16-01-2024,31,64,0,3,
17-01-2024,27.7,85,0,2,
18-01-2024,29.1,75,64.3,0,
19-01-2024,25.2,92,16.2,2,
20-01-2024,31.8,58,19.3,4,
21-01-2024,28.6,79,0,3,
22-01-2024,31.4,62,16.2,3,
23-01-2024,30.8,66,-,2,
24-01-2024,30.8,67,0,4,
25-01-2024,31.8,64,0,2,
26-01-2024,31.4,68,0,2,
27-01-2024,26.1,90,0.6,1,
28-01-2024,28.2,84,28.5,1,
29-01-2024,28,83,16.4,1,23.24
30-01-2024,28.2,83,7.5,1,28.93
31-01-2024,28.2,82,56.9,2,24.6
01-02-2024,29.4,76,0.2,0,31.99
02-02-2024,31.4,69,1.9,2,21.66
03-02-2024,28.7,78,8.5,2,14.82
04-02-2024,29.2,74,0,2,7.79
05-02-2024,28.9,77,7.3,2,31.62
06-02-2024,26.9,87,9.4,1,41.31
07-02-2024,29.6,72,3.2,2,13.78
08-02-2024,31.1,68,-,1,36.27
09-02-2024,29.5,77,-,1,35.39
10-02-2024,28.8,81,37.5,1,28.35
11-02-2024,30.7,71,1.2,1,31.3
12-02-2024,29.9,73,4,2,40.88
13-02-2024,30.9,69,0.4,1,30.85
14-02-2024,30.3,69,45,0,19.91
15-02-2024,30,76,-,0,29.14
16-02-2024,29.5,80,0.3,2,67.13
17-02-2024,29.4,78,8888,2,44.14
