TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
1-10-2023,28.5,65,0,1,28.12
02-10-2023,28.3,68,0,1,19.25
03-10-2023,28.2,66,-,1,15.27
04-10-2023,28.6,70,0,1,17.59
05-10-2023,28.8,74,0,1,18.13
06-10-2023,29.4,70,0,1,15.5
07-10-2023,29.3,71,0,1,35.11
08-10-2023,29.2,69,0,2,46.02
09-10-2023,29.5,69,0,2,27.04
10-10-2023,29.3,72,8888,1,26.26
11-10-2023,29.5,70,0,1,40.96
12-10-2023,29.1,74,8888,1,38.19
13-10-2023,29.8,68,0,1,50.97
14-10-2023,29.8,68,0,1,39.81
15-10-2023,28.7,70,0,1,34.84
16-10-2023,30.1,66,0,1,34.72
17-10-2023,29.8,62,0,1,44.64
18-10-2023,29.5,64,0,1,30.67
19-10-2023,29.6,69,0,2,35.61
20-10-2023,28.7,73,0,1,27.04
21-10-2023,29.9,66,0,1,33.4
22-10-2023,29.4,66,0,1,28.97
23-10-2023,28.9,68,0,1,35.93
24-10-2023,29.6,63,0,1,37.21
25-10-2023,28.6,74,0,1,31.92
26-10-2023,28.1,73,0,1,39.45
27-10-2023,29.2,69,0,1,41.2
28-10-2023,29.5,65,0,1,43.11
29-10-2023,29.6,63,-,1,36.79
30-10-2023,30,63,0,1,32.99
31-10-2023,30,71,0,1,35.29
01-11-2023,28.7,75,0.5,1,77
02-11-2023,29.4,74,0,1,77
03-11-2023,29.2,75,1,1,77
04-11-2023,27.8,79,0,1,58.5
05-11-2023,27.2,82,20.2,1,45
06-11-2023,28.2,79,2.8,0,58
07-11-2023,29.9,68,0.3,1,71
08-11-2023,29.5,72,0,1,61
09-11-2023,29.6,68,0,1,50
10-11-2023,30,67,0,1,55
11-11-2023,27.7,80,8888,1,50
12-11-2023,28.2,77,2.5,0,84
13-11-2023,29.7,74,0,1,66
14-11-2023,27.6,86,0,1,48
15-11-2023,28.4,82,13.2,1,36
16-11-2023,29.7,74,13.5,1,61
17-11-2023,29.9,73,0,1,55
18-11-2023,29.9,72,0,1,70
19-11-2023,29.9,70,0,1,46
20-11-2023,28.6,76,0.8,1,50
21-11-2023,29.6,74,0,1,68
22-11-2023,29.9,72,0.5,1,50
23-11-2023,29.5,74,0,1,76
24-11-2023,28.6,82,0,1,72
25-11-2023,-,96,7.2,0,41.5
26-11-2023,27.7,80,63.6,1,30
27-11-2023,26.5,87,0,1,50
28-11-2023,28.4,77,8888,1,48.5
29-11-2023,27.7,85,8.5,1,49
30-11-2023,27.7,85,3.6,1,45
01-12-2023,26.9,88,9.6,1,39
02-12-2023,28.2,80,18.9,1,45
03-12-2023,28.2,79,7,1,30
04-12-2023,26.9,88,3.3,0,74
05-12-2023,29.3,76,8888,1,74
06-12-2023,28.8,79,0,1,62
07-12-2023,28.8,76,0.7,1,47
08-12-2023,29.1,74,0,1,52
09-12-2023,29,76,0,1,62
10-12-2023,28.9,77,8888,1,50
11-12-2023,29.4,72,0,1,44
12-12-2023,29,69,0,1,42
13-12-2023,29,70,-,1,40
14-12-2023,29.4,67,0,1,54
15-12-2023,29,67,0,1,49
16-12-2023,29.2,64,0,1,18
17-12-2023,29.2,68,0,1,25
18-12-2023,29.2,66,0,1,45.5
19-12-2023,28.3,64,0,1,11.02
20-12-2023,28.2,58,0,2,12.38
21-12-2023,28.6,61,0,1,
22-12-2023,29.2,64,0,1,40
23-12-2023,30.1,66,0,1,
24-12-2023,29.5,74,0,1,
25-12-2023,28.4,77,1.7,1,
26-12-2023,28.3,81,5.4,1,
27-12-2023,27.3,86,0.8,0,
28-12-2023,29.2,76,12.9,0,
29-12-2023,27.7,86,0,0,30.73
30-12-2023,28.7,80,17.5,1,19.73
31-12-2023,27.4,88,0,1,19.27
01-01-2024,28.5,82,39.5,1,25.32
02-01-2024,28.5,82,0,1,6.97
03-01-2024,27.4,87,0,1,07.09
04-01-2024,26.5,90,4.8,1,5.48
05-01-2024,27.7,85,35.7,1,8.34
06-01-2024,28.7,80,0.5,1,14.51
07-01-2024,26.6,87,0,1,13.75
08-01-2024,27.1,86,35.8,0,5.5
09-01-2024,28.2,78,0,1,12.32
10-01-2024,27.7,83,0,1,7.94
11-01-2024,27.1,86,11.2,2,1.75
12-01-2024,26.8,82,8.3,1,2.71
13-01-2024,28.4,77,0.5,2,
14-01-2024,28.1,84,0,1,11.14
15-01-2024,28.4,80,6.4,1,
16-01-2024,28.3,80,60.7,1,
17-01-2024,27.6,86,1.1,1,
18-01-2024,27,86,6.8,2,
19-01-2024,25.5,90,49.5,2,
20-01-2024,28.7,77,16.9,3,
21-01-2024,26.7,88,12.2,2,
22-01-2024,29.1,74,21.7,3,
23-01-2024,28.4,80,2,2,
24-01-2024,27.2,83,3.5,2,
25-01-2024,28.9,76,1,2,
26-01-2024,28.8,80,8888,1,
27-01-2024,25.9,95,6.1,0,
28-01-2024,27.4,84,8.7,1,
29-01-2024,27.5,88,8,1,9.18
30-01-2024,27.5,84,18.4,2,8.86
31-01-2024,27.6,85,8.7,1,7.39
01-02-2024,27.1,90,0,1,15.5
02-02-2024,28.8,78,11.7,2,4
03-02-2024,25.8,93,3.6,1,82
04-02-2024,27.5,85,15.4,1,20
05-02-2024,27.2,88,8888,1,15
06-02-2024,25.6,91,4.1,1,27
07-02-2024,27.4,83,5.8,1,16
08-02-2024,28.7,77,9.9,1,20
09-02-2024,29.5,77,0,1,12
10-02-2024,28.7,79,8888,1,28
11-02-2024,29.4,76,0.2,1,19
12-02-2024,29.5,75,0.2,2,18
13-02-2024,29.4,78,6.7,1,26
14-02-2024,28.3,84,15.2,1,40
15-02-2024,27.1,88,8888,1,29
16-02-2024,27.4,89,45.2,1,13
17-02-2024,27.8,87,8.7,1,46
18-02-2024,27.9,82,1.1,1,83
19-02-2024,27.8,85,0,1,15
