TANGGAL,TAVG,RH_AVG,RR,FF_AVG,PM25
01-10-2023,29.1,76,-,2,62.44
02-10-2023,29.5,72,-,2,46.46
03-10-2023,29.3,74,-,2,40.36
04-10-2023,29.7,77,0,2,48.26
05-10-2023,30.5,78,-,2,65.06
06-10-2023,29.6,79,-,2,78.53
07-10-2023,30,80,-,1,77.09
08-10-2023,30.3,73,-,3,69.31
09-10-2023,30.2,75,-,3,59.59
10-10-2023,30.7,77,-,2,40.45
11-10-2023,30.8,80,-,2,63.5
12-10-2023,30.2,75,-,2,62.61
13-10-2023,30.9,70,-,2,78.02
14-10-2023,30.3,68,-,2,65.89
15-10-2023,30.5,64,-,2,55.61
16-10-2023,31.1,66,-,2,55.95
17-10-2023,31.4,61,-,3,68.7
18-10-2023,30.4,64,-,2,67.28
19-10-2023,30.2,64,-,3,55.17
20-10-2023,29.7,73,-,2,48.08
21-10-2023,30.8,70,-,2,52.91
22-10-2023,30.8,70,-,2,74.88
23-10-2023,32.2,85,0,2,66.23
24-10-2023,29.8,72,-,2,72.81
25-10-2023,28.8,76,8.4,1,70
26-10-2023,30,76,5,2,83.07
27-10-2023,30,72,-,2,81.11
28-10-2023,30.8,68,-,2,66.93
29-10-2023,30.6,68,-,2,53.81
30-10-2023,32.5,60,-,2,51.99
31-10-2023,32.4,65,-,2,72.51
01-11-2023,31.5,68,-,2,64.73
02-11-2023,31.9,67,-,2,56.03
03-11-2023,31.6,66,-,2,60.57
04-11-2023,31.3,70,-,2,64.53
05-11-2023,28.5,83,35.5,1,34.67
06-11-2023,31.2,70,27.5,2,45.56
07-11-2023,31.8,68,-,2,54.77
08-11-2023,31.9,69,-,1,49.18
09-11-2023,31.9,68,-,1,52.14
10-11-2023,31.3,71,-,2,55.34
11-11-2023,30.7,73,18,2,66.92
12-11-2023,31.1,68,8888,1,43.23
13-11-2023,32.6,64,-,2,50.61
14-11-2023,31.1,72,-,2,45.03
15-11-2023,30.2,75,13.8,1,31.71
16-11-2023,31.8,68,1.2,2,39.67
17-11-2023,31.6,72,-,1,48.15
18-11-2023,30.8,72,1.5,1,49.62
19-11-2023,32,70,2.5,2,45.78
20-11-2023,31.5,69,18.2,2,38.14
21-11-2023,32.3,68,-,2,40.64
22-11-2023,31.7,67,1,2,38.54
23-11-2023,29.5,77,-,2,53.25
24-11-2023,29.8,80,1.8,2,81.23
25-11-2023,25.9,93,20.5,1,52.66
26-11-2023,30.1,73,32,2,33.64
27-11-2023,28.1,83,-,1,41.37
28-11-2023,30.3,73,10,2,45.48
29-11-2023,31.4,70,-,2,50.87
30-11-2023,28.5,83,43.4,1,26.9
01-12-2023,27.1,88,1.4,1,33.01
02-12-2023,30.3,74,0.1,1,43.11
03-12-2023,29.3,77,1.3,1,36.22
04-12-2023,26.8,91,38.4,0,35.43
05-12-2023,30.3,73,1,1,59.49
06-12-2023,29.9,74,-,1,49.37
07-12-2023,30.3,77,1.8,1,43.67
08-12-2023,28.7,84,-,1,36.43
09-12-2023,29.6,78,71.5,1,41.9
10-12-2023,29.6,78,16.8,1,52.63
11-12-2023,31.2,70,-,2,48.78
12-12-2023,30.9,74,-,2,39.78
13-12-2023,31.3,69,3.4,1,32.22
14-12-2023,32.2,64,-,2,26.02
15-12-2023,32.1,64,-,1,27.15
16-12-2023,31.9,62,-,2,21.86
17-12-2023,32,63,-,2,23.59
18-12-2023,32.5,61,-,2,24.15
19-12-2023,32.3,58,-,2,23.71
20-12-2023,32.3,51,-,2,26.1
21-12-2023,31.4,57,-,1,24.35
22-12-2023,31.5,62,-,1,
23-12-2023,32.4,62,-,1,55.17
24-12-2023,31.8,68,1.3,2,58.53
25-12-2023,28.4,84,2.6,1,48.13
26-12-2023,29.1,81,55.3,1,53.97
27-12-2023,29.7,79,-,1,53.53
28-12-2023,30.8,74,10.5,2,42.92
29-12-2023,29.7,80,-,1,53.13
30-12-2023,29.2,82,8.9,1,50.12
31-12-2023,29.6,78,7.2,1,59.69
01-01-2024,30.2,78,21,1,41.06
02-01-2024,30.5,77,-,1,31.28
03-01-2024,27.9,86,10.7,1,27.97
04-01-2024,27,88,4.6,1,18.98
05-01-2024,29.1,78,53.8,1,26.5
06-01-2024,27.7,84,13.2,1,33.96
07-01-2024,27.3,86,75.2,1,43.58
08-01-2024,29,78,7,1,23.07
09-01-2024,30.3,73,8888,2,36.86
10-01-2024,28.9,81,0.3,2,30.57
11-01-2024,28.6,81,8888,1,19.23
12-01-2024,28.8,79,3.6,2,09.08
13-01-2024,28.6,81,-,1,15.51
14-01-2024,29,83,46,2,18.87
15-01-2024,30.1,76,5.7,2,
16-01-2024,30.8,67,8888,3,
17-01-2024,28.2,87,-,2,
18-01-2024,28.6,79,16.5,3,
19-01-2024,25.2,93,17.9,2,
20-01-2024,31,68,16.3,4,
21-01-2024,28.7,80,-,3,
22-01-2024,31,70,3.5,3,
23-01-2024,30.4,73,-,3,
24-01-2024,29.9,73,-,4,
25-01-2024,31.1,72,-,3,
26-01-2024,30.5,73,-,2,
27-01-2024,25.8,93,6.8,1,
28-01-2024,28.2,87,44.1,1,
29-01-2024,27.8,87,10,1,23.24
30-01-2024,27.6,86,20.8,2,28.93
31-01-2024,28.2,84,53.5,1,24.6
01-02-2024,29.1,82,-,3,31.99
02-02-2024,30.8,76,2,2,21.66
03-02-2024,28.1,84,0.6,2,14.82
04-02-2024,28.7,82,-,3,7.79
05-02-2024,28.4,85,4.1,1,31.62
06-02-2024,26.5,90,32.8,2,41.31
07-02-2024,29.1,80,11.2,2,13.78
08-02-2024,30.5,75,-,2,36.27
09-02-2024,30,81,-,2,35.39
10-02-2024,28.7,84,12.8,2,28.35
11-02-2024,29.9,79,0.1,3,31.3
